Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781099274,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781099275,50,,Aggregated,0.000000,0.000000,80,110,220,300,440,500,530,550,550,550,550,122,0,79,153.72434754099828,2.8989999991608784,548.9390000002459,22086.0
1781099276,100,,Aggregated,0.000000,0.000000,180,250,300,320,450,550,750,890,990,990,990,252,0,180,215.32506904761595,2.8989999991608784,990.9225999999762,22086.0
1781099277,200,,Aggregated,12.000000,0.000000,290,360,390,410,470,890,1500,1700,1900,1900,1900,369,0,290,316.7428536585285,2.8989999991608784,1948.1376000003365,22738.845528455284
1781099278,200,,Aggregated,64.500000,0.000000,360,440,520,540,630,1200,1900,2200,2500,2500,2500,487,0,360,412.29637659136347,2.8989999991608784,2546.328999999787,23480.045174537987
1781099279,200,,Aggregated,85.666667,0.000000,420,530,570,600,650,1500,2200,2500,3000,3000,3000,613,0,420,482.17303376834246,2.8989999991608784,2996.518500000093,23407.859706362153
1781099280,200,,Aggregated,95.000000,0.000000,510,580,610,630,700,1700,2700,3300,3900,3900,3900,742,0,510,548.5962138813913,2.8989999991608784,3918.041699999776,22676.296495956874
1781099281,200,,Aggregated,99.600000,0.000000,550,630,660,690,770,1800,3300,4200,5000,5000,5000,887,0,550,619.2265925591823,2.8989999991608784,4968.810100000155,22357.589627959413
1781099282,200,,Aggregated,103.333333,0.000000,590,660,710,740,830,1900,3800,4800,5800,6000,6000,1015,0,590,680.244759999996,2.8989999991608784,6006.568900000275,22668.56157635468
1781099283,200,,Aggregated,108.714286,0.000000,620,700,770,810,960,2000,4700,5600,6300,6600,6600,1143,0,620,746.8259148731344,2.8989999991608784,6613.861899999392,22335.081364829395
1781099284,200,,Aggregated,110.875000,0.000000,650,750,810,860,980,2000,5100,6000,6900,6900,6900,1280,0,650,795.3254889843586,2.8989999991608784,6904.637499999808,22120.21875
1781099285,200,,Aggregated,112.777778,0.000000,670,790,860,900,1100,2000,5400,6300,7700,7700,7700,1381,0,670,839.5034468500936,2.8989999991608784,7747.2558999998,22260.438812454744
1781099286,200,,Aggregated,114.300000,0.000000,710,840,930,980,1200,2200,5900,6900,8900,8900,8900,1531,0,710,908.2119713912348,2.8989999991608784,8921.567800000048,22329.174395819726
1781099287,200,,Aggregated,126.800000,0.000000,740,880,970,1000,1200,2200,6200,7700,9700,9700,9700,1641,0,740,948.8448085923067,2.8989999991608784,9667.241699999977,22126.0365630713
1781099288,200,,Aggregated,125.200000,0.000000,780,920,1000,1000,1200,2200,6600,8900,11000,11000,11000,1832,0,780,1011.0901890829564,2.8989999991608784,11011.082999999417,21846.917030567685
1781099289,200,,Aggregated,127.400000,0.000000,810,950,1000,1100,1200,2200,6900,9400,11000,12000,12000,1935,0,810,1043.0006635141983,2.8989999991608784,11712.502500000483,21667.24031007752
1781099290,200,,Aggregated,132.200000,0.000000,830,990,1100,1100,1300,1900,6600,9400,11000,12000,12000,2061,0,830,1057.4278513342904,2.8989999991608784,11712.502500000483,21799.100436681223
1781099291,200,,Aggregated,133.400000,0.000000,870,1000,1100,1200,1300,1700,6500,9400,11000,12000,12000,2180,0,870,1072.1083378898982,2.8989999991608784,11712.502500000483,21965.449541284404
1781099292,200,,Aggregated,131.500000,0.000000,900,1000,1100,1200,1300,1700,6200,8900,11000,12000,12000,2356,0,900,1075.8578700339506,2.8989999991608784,11712.502500000483,21714.183361629883
1781099293,200,,Aggregated,130.000000,0.000000,920,1100,1100,1200,1300,1600,6000,8900,11000,12000,12000,2464,0,920,1080.078246509734,2.8989999991608784,11712.502500000483,21783.80844155844
1781099294,200,,Aggregated,134.700000,0.000000,940,1100,1200,1200,1400,1600,5900,8600,11000,12000,12000,2576,0,940,1089.5220201086947,2.8989999991608784,11712.502500000483,21813.950310559005
1781099295,200,,Aggregated,134.100000,0.000000,970,1100,1200,1200,1400,1600,5800,8600,11000,12000,12000,2694,0,970,1097.3355277282833,2.8989999991608784,11712.502500000483,21923.41648106904
1781099296,200,,Aggregated,132.100000,0.000000,990,1100,1200,1300,1400,1600,5600,8200,11000,12000,12000,2879,0,990,1111.704204029173,2.8989999991608784,11712.502500000483,21895.82980201459
1781099297,200,,Aggregated,129.600000,0.000000,1000,1100,1200,1300,1400,1600,5400,8200,11000,12000,12000,2995,0,1000,1111.1312750584284,2.8989999991608784,11712.502500000483,21844.697829716195
1781099298,200,,Aggregated,131.300000,0.000000,1000,1100,1200,1300,1400,1600,5100,7700,11000,12000,12000,3106,0,1000,1115.0139650676088,2.8989999991608784,11712.502500000483,21944.982614294913
1781099299,200,,Aggregated,134.800000,0.000000,1000,1200,1200,1300,1400,1500,4800,7700,11000,12000,12000,3247,0,1000,1118.2348683708017,2.8989999991608784,11712.502500000483,21863.42531567601
