API,Nível,Latência_95%,API_Type,Lang
SOAP (Python),Leve,2300,SOAP,Python
REST (Node),Leve,12,REST,Node
REST (Python),Leve,130,REST,Python
GraphQL (Node),Leve,20,GraphQL,Node
GraphQL (Python),Leve,180,GraphQL,Python
gRPC (Node),Leve,5,gRPC,Node
gRPC (Python),Leve,6,gRPC,Python
SOAP (Node),Leve,17,SOAP,Node
SOAP (Python),Médio,6500,SOAP,Python
REST (Node),Médio,16,REST,Node
REST (Python),Médio,2100,REST,Python
GraphQL (Node),Médio,200,GraphQL,Node
GraphQL (Python),Médio,1500,GraphQL,Python
gRPC (Node),Médio,2,gRPC,Node
gRPC (Python),Médio,2,gRPC,Python
SOAP (Node),Médio,280,SOAP,Node
